#{"env_id": "SoccerEnv-v0", "t_start": 1539800374.3502083}
r,l,t
2786.802018,290,3.033775
8.97936,80,3.632688
8.910341,83,4.272314
368.29115,230,5.336871
10.091229,94,5.987394
195.548001,180,6.885087
959.901751,230,7.920166
10.319503,96,8.664293
1296.855165,250,9.819936
8.910341,83,10.535934
9.339781,87,11.214874
813.104106,220,12.223267
970.076593,230,13.266777
10.305936,96,13.941064
8.539282,79,14.576622
10.41329,97,15.304322
477.091283,250,16.365585
10.431006,92,17.059497
884.425406,250,18.163326
8.58828,80,18.875889
9.228408,80,19.459818
54.585012,170,20.42031
9.876522,92,21.135433
2779.606368,290,22.301141
1490.071269,250,23.372443
922.91698,250,25.632075
94.993183,180,26.511722
10.091229,94,27.171892
774.519179,220,28.166476
169.771792,190,29.091943
8.695634,81,29.700993
54.912432,180,30.674677
8.695634,81,31.268308
1679.722675,270,32.406122
9.983876,93,33.09823
9.621675,82,33.749381
719.931074,250,34.849812
759.698308,250,35.954869
1496.451816,250,37.029319
803.807753,220,38.054067
1245.889266,240,39.132107
9.876522,92,39.808494
646.820362,250,40.95033
9.017694,84,41.570901
1286.315217,250,42.665401
2276.047245,290,43.854127
9.876522,92,44.533503
9.983876,93,45.271935
8.802987,82,45.890861
137.206679,180,47.518101
8.695634,81,48.128686
9.983876,93,48.798806
3293.170554,300,50.044175
1142.93214,260,51.162948
1187.897809,240,52.221069
10.999716,98,52.906422
8.480927,79,53.524443
8.480927,79,54.14558
933.665934,250,55.274196
1406.837257,260,56.402485
9.447108,88,57.112062
1368.438869,270,58.249846
9.447108,88,58.898754
224.334867,210,59.868267
819.3625,250,60.978313
9.232401,86,61.61409
8.190212,71,62.243387
9.017694,84,62.8765
9.554462,89,63.57503
9.876522,92,64.266245
8.890683,82,64.956105
1002.388003,260,66.166116
723.236173,250,67.326218
9.343763,81,67.940903
301.330707,200,68.904849
89.975362,170,70.711746
9.661815,90,71.387975
686.373364,260,72.521987
8.58828,80,73.123427
9.87655,92,73.838399
204.325242,190,74.768745
960.756364,260,75.895662
202.842938,230,76.951676
11.916239,111,77.650298
93.581052,170,78.599699
8.480927,79,79.222584
9.983876,93,79.890871
750.594789,250,80.963977
8.58828,80,81.606994
860.715736,230,82.68179
1278.965246,250,83.808154
8.910341,83,84.435306
